run,cv_splits,shuffled,n_trees,depth,rmse_train,rmse_val,mae_train,mae_val
0,5,False,200,4,2.056838540719993,2.539914663004043,1.5245871704009144,1.943657033940271
1,5,False,200,5,1.8916265781103028,2.4371765805692696,1.3687799789179618,1.8213301894361855
2,5,False,200,6,1.732583230141346,2.4193219373973394,1.2362527570410735,1.7964072568355032
4,5,False,300,4,2.057003878077407,2.541465316343857,1.5246204954333105,1.9443424202107082
3,5,False,200,7,1.562640251242009,2.4104056577184862,1.1014855170644737,1.7826397743770215
5,5,False,300,5,1.8917987112432493,2.436626284014605,1.3691360945071267,1.8205967527738025
8,5,False,400,4,2.0564118344860702,2.5395752157524445,1.524703939895913,1.9426999416347481
6,5,False,300,6,1.7326957290207197,2.416730735049444,1.2363260508038398,1.7947975490814254
9,5,False,400,5,1.8912478695054673,2.436343722176515,1.3691185354751172,1.8197392140393132
7,5,False,300,7,1.5616588550804558,2.4074651989343336,1.100417466429963,1.7804341071807634
12,5,False,500,4,2.0565678570307484,2.5390249910642453,1.5256400812534299,1.9434796477152876
10,5,False,400,6,1.7314666296154222,2.4171769965423864,1.2358477788913564,1.7953310054374683
13,5,False,500,5,1.8904050657781017,2.4371282913329972,1.3687435453185448,1.8210805207151677
11,5,False,400,7,1.5611780878246766,2.406076680522082,1.100514517663592,1.7804190339007584
14,5,False,500,6,1.7301162332503306,2.4177510551029036,1.235064173264416,1.7954261580734
15,5,False,500,7,1.5596300675076686,2.406899202765152,1.0992161557473814,1.7805444253789215
