run,execution_time,hiddensize,batchsize,learningrate,history,activation,nlayers,rmse_train,rmse_val,mae_train,mae_val
70,44117.51797270775,"[16, 256]",64,1e-05,2,<class 'torch.nn.modules.activation.ReLU'>,2,2.324406385421753,2.336599349975586,1.7528692483901978,1.7372716665267944
70,44572.93313264847,"[16, 256]",64,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.1751046180725098,2.138479709625244,0.8168569803237915,1.4559962749481201
70,44957.942937374115,"[16, 64, 128]",64,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,3,1.1040534973144531,2.0844712257385254,0.7504231333732605,1.3912975788116455
70,45112.9196202755,"[16, 256]",128,0.005,2,<class 'torch.nn.modules.activation.ReLU'>,2,1.0491949319839478,2.193962812423706,0.7318230867385864,1.498610258102417
70,45428.090529203415,"[256, 128]",16,0.005,0,<class 'torch.nn.modules.activation.ReLU'>,2,1.434295654296875,1.9387620687484741,0.9682052731513977,1.2841662168502808
70,45522.151117801666,"[16, 64, 64]",128,0.001,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.342747449874878,1.995538353919983,0.9208699464797974,1.3241603374481201
70,45555.91272473335,"[128, 256]",16,0.0001,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.7020111083984375,1.9344669580459595,1.2125651836395264,1.3325295448303223
70,45692.161326646805,"[256, 16]",128,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,2,1.052869200706482,2.0756824016571045,0.7093353867530823,1.3385504484176636
70,45691.382194042206,"[128, 128, 16]",16,0.01,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.3413925170898438,2.09474515914917,0.8966058492660522,1.3728654384613037
70,45971.529848098755,"[64, 128]",256,1e-05,2,<class 'torch.nn.modules.activation.ReLU'>,2,2.0206704139709473,2.1649131774902344,1.4954804182052612,1.5599333047866821
70,46030.49988365173,"[64, 128, 16]",64,0.001,1,<class 'torch.nn.modules.activation.ReLU'>,3,1.2431707382202148,2.049327850341797,0.8363813161849976,1.3632034063339233
70,46540.10083413124,"[64, 16, 16]",256,0.0001,2,<class 'torch.nn.modules.activation.ReLU'>,3,1.6877368688583374,1.935811996459961,1.1932377815246582,1.3163011074066162
70,46909.31689596176,"[256, 16]",256,0.01,1,<class 'torch.nn.modules.activation.ReLU'>,2,0.9551399946212769,2.163879871368408,0.6513552665710449,1.4003232717514038
70,47327.283333301544,"[64, 256]",256,0.01,0,<class 'torch.nn.modules.activation.ReLU'>,2,0.7297725677490234,2.3817429542541504,0.5044081807136536,1.5718530416488647
