run,cv_splits,shuffled,n_trees,depth,rmse_train,rmse_val,mae_train,mae_val
0,6,False,200,4,0.17164723704337595,0.19967321280785869,0.12946034668640619,0.15178986694130725
1,6,False,200,5,0.13402806382594531,0.1652893980157408,0.10054388639045203,0.12459549768995187
2,6,False,200,6,0.10592926345156388,0.14787826606810003,0.07909334653843049,0.10958901022033478
3,6,False,200,7,0.08347533327857126,0.13649401810766068,0.06192902915867975,0.100045502293383
4,6,False,300,4,0.17099268356080524,0.19856783606886422,0.12897550709103217,0.15115389854771566
5,6,False,300,5,0.13379034546297255,0.16454545218993608,0.10039816608685216,0.12389444133901639
6,6,False,300,6,0.10561645823814277,0.14722466627625916,0.07884302049228387,0.10895164952495313
8,6,False,400,4,0.1714085209851112,0.19861597837662373,0.1293410704852361,0.1512028910526221
7,6,False,300,7,0.08302366519178224,0.13567224180948922,0.061691155093818666,0.09952056761140092
9,6,False,400,5,0.13366064025278554,0.1637053156184338,0.10032200910671636,0.12327600492264192
12,6,False,500,4,0.1713067646781632,0.19843735483867475,0.12914299474970173,0.15094537098429983
10,6,False,400,6,0.10551819162613364,0.14693619105700775,0.07876178565806735,0.1089873056091839
13,6,False,500,5,0.13366716568077072,0.16382560917275713,0.10031710704770057,0.12326647353703823
11,6,False,400,7,0.08298077630331552,0.135385364991124,0.06163746028562068,0.09952219859244539
14,6,False,500,6,0.10555750197000924,0.14676299379220215,0.07882074579086375,0.1088191105735729
15,6,False,500,7,0.08296106728412617,0.1351639493842524,0.06162522236731211,0.09929663290413883
