run,execution_time,hiddensize,batchsize,learningrate,history,channels,kernelsize,activation,rmse_train,rmse_val,mae_train,mae_val
50,66287.81450605392,64,512,0.001,10,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.4641655385494232,7.740692138671875,0.3544904589653015,6.3791184425354
50,66537.38468170166,512,128,0.001,20,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.09979631006717682,5.916488170623779,0.07568506896495819,5.100595951080322
50,66685.00435996056,128,256,0.005,20,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.06128299981355667,4.088829040527344,0.04807397350668907,3.5142288208007812
50,66773.61356520653,32,32,0.01,30,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.354428768157959,4.001189708709717,0.26866450905799866,3.502466917037964
50,66788.4782807827,512,512,0.005,10,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.22562575340270996,5.069028377532959,0.17956800758838654,4.161383152008057
50,66960.85243606567,512,256,0.01,30,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.013624200597405434,3.7194430828094482,0.010405616834759712,3.286745548248291
50,67041.27461528778,128,512,0.0001,10,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.6220690011978149,6.045655250549316,0.4775591492652893,5.2137346267700195
50,67303.41345667839,64,512,0.005,20,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.14140655100345612,8.621599197387695,0.10931428521871567,7.590075492858887
50,67383.05940032005,32,512,0.005,20,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.2209063470363617,5.910594940185547,0.17693398892879486,5.140923500061035
50,67526.09529042244,64,64,0.005,30,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.1951911449432373,6.795655250549316,0.1510128229856491,5.932674884796143
50,67891.72276568413,256,128,0.005,30,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.09543882310390472,5.017065525054932,0.0732736885547638,4.3527984619140625
50,68011.57747602463,512,512,0.001,20,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.07357360422611237,6.8466997146606445,0.05891386419534683,5.778827667236328
50,68029.38005113602,256,128,0.01,30,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.14022447168827057,5.5851149559021,0.1079006940126419,4.737555980682373
50,68354.41119170189,512,512,0.0001,30,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.11308519542217255,5.8904805183410645,0.07443501055240631,5.163212776184082
50,68386.92357683182,512,512,0.001,20,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.12738804519176483,4.935518741607666,0.10827431827783585,4.128074645996094
