run,execution_time,hiddensize,batchsize,learningrate,history,channels,kernelsize,activation,rmse_train,rmse_val,mae_train,mae_val
50,62600.84156250954,32,32,0.001,10,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,1.0244710445404053,1.8053346872329712,0.7919342517852783,1.3559881448745728
50,64797.67722415924,64,64,0.001,10,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.8638271689414978,2.0564074516296387,0.6663071513175964,1.5078905820846558
50,65175.029412031174,256,32,0.001,10,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.7914349436759949,2.031942844390869,0.6078178882598877,1.5086394548416138
50,66461.60048222542,128,32,0.0001,15,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,1.3233120441436768,1.7485283613204956,0.9967427253723145,1.3146470785140991
50,67402.98144865036,64,128,0.001,10,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.6739315986633301,1.9900221824645996,0.5156163573265076,1.4828976392745972
50,67639.80585455894,64,32,0.0001,15,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,1.1619564294815063,1.658378005027771,0.8736691474914551,1.2430057525634766
50,68146.55869460106,128,128,0.005,10,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.3560390770435333,2.1764132976531982,0.27292701601982117,1.6384679079055786
50,68188.10980319977,32,128,0.0001,10,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,1.141636848449707,1.7745174169540405,0.8651635646820068,1.3263784646987915
50,68233.59684181213,64,64,0.01,20,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.30337366461753845,2.2011349201202393,0.23282770812511444,1.6757956743240356
50,68681.2162053585,64,128,0.005,15,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.22259174287319183,2.1839146614074707,0.17091263830661774,1.6585679054260254
50,69708.1500146389,64,64,0.001,20,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.46216633915901184,2.208092451095581,0.3602101802825928,1.6482654809951782
50,71006.52312588692,256,32,0.0001,20,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,1.1205023527145386,1.7987114191055298,0.8518221974372864,1.3417826890945435
50,71233.35992646217,64,64,0.005,15,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.2836502492427826,2.013150930404663,0.21310244500637054,1.5381582975387573
50,71417.36547970772,64,128,0.01,20,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.18424808979034424,2.109402656555176,0.14120210707187653,1.578275203704834
50,71522.67424845695,64,32,0.0001,20,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,1.2136727571487427,1.8179227113723755,0.9134182929992676,1.3672987222671509
50,71823.26317358017,512,32,0.001,10,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.5171205997467041,2.0304617881774902,0.38803336024284363,1.4913911819458008
50,71925.61726689339,256,32,0.005,20,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.3584471642971039,2.002506971359253,0.2718205153942108,1.528652548789978
50,72002.33690547943,128,64,0.001,20,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,0.47348761558532715,2.096383810043335,0.36154112219810486,1.5698490142822266
50,72380.59380197525,32,64,0.01,30,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.2844199538230896,1.980711817741394,0.21949373185634613,1.5168962478637695
50,72903.6616051197,512,64,0.01,10,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.4307505190372467,1.9555031061172485,0.3312959671020508,1.4732292890548706
50,73156.37044286728,32,32,0.001,30,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.5168920159339905,2.0918750762939453,0.3994486629962921,1.567060112953186
50,73380.06719970703,512,32,0.005,20,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.3662804663181305,1.976371169090271,0.2744840979576111,1.5177768468856812
50,73770.28492593765,64,256,0.001,15,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.3784954249858856,2.392324209213257,0.29278576374053955,1.770903468132019
50,73913.09083366394,512,128,0.01,10,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.19828343391418457,2.1257052421569824,0.1525661200284958,1.6091580390930176
50,74105.0442314148,64,128,0.01,20,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.2145126461982727,2.067617177963257,0.16746152937412262,1.5781666040420532
50,74491.1922492981,32,128,0.0001,30,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.9734301567077637,1.8146473169326782,0.7420785427093506,1.3852386474609375
50,74545.73633313179,256,128,0.005,20,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.18456195294857025,2.2319259643554688,0.13994596898555756,1.6575978994369507
50,74785.40891814232,512,128,0.005,20,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.12217289954423904,1.9489665031433105,0.0950150117278099,1.5112380981445312
50,75064.78611373901,256,32,0.0001,30,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.8295959830284119,2.0155017375946045,0.6376981735229492,1.5070823431015015
50,75599.31420516968,256,128,0.01,30,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.14689303934574127,1.9679584503173828,0.11158713698387146,1.507298469543457
50,75611.70417523384,256,256,0.0001,15,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.8245751261711121,2.0230307579040527,0.6326322555541992,1.5044890642166138
50,75803.68437218666,64,128,0.001,30,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.2469692975282669,2.2286479473114014,0.18697704374790192,1.683076024055481
50,76223.12668728828,256,128,0.01,15,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.131124347448349,1.985070824623108,0.10047335177659988,1.479815125465393
50,76415.08824539185,512,256,0.0001,20,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.5436500310897827,2.0623927116394043,0.4143584668636322,1.5589638948440552
50,76595.39158606529,64,128,0.01,20,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.28528881072998047,1.989310383796692,0.21905910968780518,1.5062661170959473
50,76817.24851727486,256,256,0.001,20,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.20995032787322998,2.247286558151245,0.14563395082950592,1.6988368034362793
50,77294.75384140015,512,256,0.001,10,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.11962783336639404,2.1898577213287354,0.09143117815256119,1.6252937316894531
50,78014.90891218185,256,32,0.001,30,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.20467597246170044,2.0217068195343018,0.1569172888994217,1.5140347480773926
50,78329.11383843422,256,256,0.001,15,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.12323448807001114,2.249645233154297,0.09793972223997116,1.672852635383606
50,78799.18177366257,512,256,0.0001,30,"[14, 28]",3,<class 'torch.nn.modules.activation.ReLU'>,0.35265687108039856,2.1906964778900146,0.2558976709842682,1.6340404748916626
50,78978.42390275002,32,512,0.01,15,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,0.1261998564004898,2.381014585494995,0.0983039140701294,1.8011360168457031
50,78977.91563725471,64,512,0.001,15,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.4189300835132599,2.4823834896087646,0.31547391414642334,1.775533676147461
50,79430.88747906685,256,512,0.001,15,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,0.20845310389995575,2.485414505004883,0.1464604139328003,1.8807668685913086
50,79666.29323005676,256,512,0.0001,15,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,0.8679233193397522,1.901968002319336,0.6681811213493347,1.408032774925232
50,79685.28001451492,512,256,0.005,20,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.08214546740055084,1.9336371421813965,0.06449804455041885,1.4663748741149902
50,80069.14314770699,512,512,0.005,10,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.1118001937866211,2.09562349319458,0.09002628922462463,1.5874872207641602
50,80188.95822691917,128,64,0.005,30,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,0.19816075265407562,1.9503240585327148,0.15131273865699768,1.4731374979019165
50,80387.7217245102,128,512,0.01,30,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.08841932564973831,2.1032767295837402,0.06920251995325089,1.6168516874313354
50,80829.44727706909,128,512,0.0001,20,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.497900128364563,2.045309066772461,0.37484803795814514,1.529593825340271
50,80913.24715733528,32,512,0.01,30,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.05535502731800079,2.1437089443206787,0.043080735951662064,1.6016860008239746
