run,execution_time,hiddensize,batchsize,learningrate,history,channels,kernelsize,activation,rmse_train,rmse_val,mae_train,mae_val
30,74873.46405029297,64,16,0.005,10,[10],4,<class 'torch.nn.modules.activation.ReLU'>,1.4719451665878296,2.6285109519958496,1.0418943166732788,1.843030333518982
30,76544.14536833763,16,8,0.005,10,[28],4,<class 'torch.nn.modules.activation.ReLU'>,1.666812539100647,2.4803149700164795,1.2137391567230225,1.689268708229065
30,80937.18546652794,8,32,0.001,14,[28],3,<class 'torch.nn.modules.activation.ReLU'>,1.4795364141464233,2.5407698154449463,1.054866075515747,1.744417428970337
30,80944.37022066116,32,64,0.005,10,[10],3,<class 'torch.nn.modules.activation.ReLU'>,1.1684083938598633,2.6898064613342285,0.841302752494812,1.8165496587753296
30,81596.99684262276,64,64,0.0001,10,[10],4,<class 'torch.nn.modules.activation.ReLU'>,1.8384710550308228,2.3428547382354736,1.328878402709961,1.6615314483642578
30,82583.48457980156,64,32,0.005,10,[28],3,<class 'torch.nn.modules.activation.ReLU'>,0.8734220266342163,2.648421049118042,0.639773964881897,1.7555217742919922
30,82760.96389627457,64,8,0.0001,14,[28],3,<class 'torch.nn.modules.activation.ReLU'>,1.7722408771514893,2.3653745651245117,1.2848399877548218,1.6699355840682983
30,84838.97908377647,32,16,0.01,14,[28],4,<class 'torch.nn.modules.activation.ReLU'>,1.3876787424087524,2.5089855194091797,1.037173867225647,1.7033780813217163
30,86503.74937438965,8,64,0.005,14,[28],4,<class 'torch.nn.modules.activation.ReLU'>,1.3585180044174194,2.729219436645508,0.9852838516235352,1.8208954334259033
30,86578.90944886208,32,128,0.001,10,[10],3,<class 'torch.nn.modules.activation.ReLU'>,1.2359130382537842,2.7278332710266113,0.886430561542511,1.8626985549926758
30,89600.87569189072,128,16,0.001,14,[28],3,<class 'torch.nn.modules.activation.ReLU'>,0.6596606969833374,2.5565319061279297,0.4780086576938629,1.7100963592529297
30,90802.69945836067,256,32,0.0001,14,[10],3,<class 'torch.nn.modules.activation.ReLU'>,1.3471524715423584,2.507551670074463,0.9878334999084473,1.7659978866577148
30,92255.21207785606,128,8,0.001,14,[28],2,<class 'torch.nn.modules.activation.ReLU'>,1.03415846824646,2.499988079071045,0.7260993719100952,1.6785109043121338
30,94323.44134950638,128,256,0.01,10,[14],3,<class 'torch.nn.modules.activation.ReLU'>,0.30544137954711914,2.8382439613342285,0.22812004387378693,1.9607750177383423
30,95056.5752658844,64,256,0.001,10,[14],2,<class 'torch.nn.modules.activation.ReLU'>,0.4245990216732025,3.0468688011169434,0.31190580129623413,2.1006522178649902
30,98587.76115584373,256,128,0.001,10,[14],3,<class 'torch.nn.modules.activation.ReLU'>,0.23524756729602814,2.7371315956115723,0.1711614429950714,1.8936402797698975
30,99210.703540802,256,128,0.005,10,[14],3,<class 'torch.nn.modules.activation.ReLU'>,0.2652575373649597,2.665144443511963,0.1945885419845581,1.833616018295288
30,104990.52380037308,64,8,0.0001,10,"[14, 28]",4,<class 'torch.nn.modules.activation.ReLU'>,1.9905965328216553,2.405684232711792,1.4423445463180542,1.6990041732788086
30,108531.22444224358,256,8,0.001,10,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,1.2756402492523193,2.5040574073791504,0.8799072504043579,1.6883662939071655
30,108822.88356781006,16,32,0.0001,14,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,1.9575297832489014,2.3466286659240723,1.4322816133499146,1.6671584844589233
30,108923.37689781189,128,16,0.001,10,"[10, 20]",4,<class 'torch.nn.modules.activation.ReLU'>,1.4694370031356812,2.5975501537323,1.0418212413787842,1.7592779397964478
30,113028.56754517555,32,32,0.01,14,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,1.320853590965271,2.818711757659912,0.9542827606201172,1.8943411111831665
30,113633.33605289459,256,8,0.005,10,"[10, 20]",3,<class 'torch.nn.modules.activation.ReLU'>,1.783827781677246,2.488581418991089,1.2954652309417725,1.7187464237213135
30,114680.74971652031,128,8,0.001,14,"[28, 52]",3,<class 'torch.nn.modules.activation.ReLU'>,1.037291169166565,2.5483593940734863,0.7114864587783813,1.7219568490982056
30,115060.73472428322,16,64,0.0001,14,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,1.8538475036621094,2.3227829933166504,1.3355827331542969,1.6556485891342163
30,115845.85527443886,256,8,0.0001,14,"[10, 20]",2,<class 'torch.nn.modules.activation.ReLU'>,1.7699769735336304,2.3940258026123047,1.284306287765503,1.6643054485321045
30,116432.84816622734,32,64,0.001,10,"[28, 52]",2,<class 'torch.nn.modules.activation.ReLU'>,0.6488666534423828,2.758847713470459,0.47032588720321655,1.8300905227661133
30,117232.52558851242,64,128,0.001,14,"[14, 28]",2,<class 'torch.nn.modules.activation.ReLU'>,0.42853206396102905,2.8877522945404053,0.31455525755882263,1.9699004888534546
30,118253.79820728302,64,256,0.0001,14,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.9530515670776367,2.618694305419922,0.6658357977867126,1.777578592300415
30,118287.40363192558,256,64,0.005,14,"[28, 52]",4,<class 'torch.nn.modules.activation.ReLU'>,0.39645272493362427,2.650805950164795,0.28693321347236633,1.806589126586914
