"PAR";"TAir";"VPD";"Precip";"CO2";"fAPAR";"GPPobs";"ETobs";"DOY"
1,638144;-1,027;0,01001;1,7;380;0,6801809782;0,087;0,054;1
0,2502144;-0,075;0,01001;6,9;380;0,6801809782;0;0,131;2
1,7545248;-1,425;0,00801;0,9;380;0,6801809782;0,067;0,073;3
1,0582272;-1,974;0,00501;5;380;0,6801809782;0,023;0,064;4
0,4563648;-1,25;0,00201;3,1;380;0,6801809782;0;0,12;5
0,274752;-0,509;0,00101;0,8;380;0,6801809782;0;0,052;6
0,356832;2,27;1e-05;7;380;0,6801809782;0;0,048;7
0,4738176;2,787;0,00701;11,9;380;0,6801809782;0,02;0,143;8
0,6118848;0,415;0,00801;1,5;380;0,6801809782;0,098;0,036;9
0,6879168;0,188;0,00901;7,1;380;0,6801809782;0,008;0,101;10
1,9560096;3,463;0,01301;0;380;0,6801809782;0,341;0,314;11
0,289008;1,558;0,00501;1,3;380;0,6801809782;0;-0,047;12
0,5407776;2,524;0,02901;6;380;0,6801809782;0,003;0,162;13
1,038528;-1,507;0,03201;0,4;380;0,6801809782;0,014;-0,047;14
2,1707136;-5,399;0,01601;2,7;380;0,6801809782;0,175;0,045;15
0,5001696;-0,621;1e-05;3,4;380;0,6801809782;0;0,032;16
1,1854944;2,074;0,02701;0,6;380;0,6801809782;0,283;0,189;17
0,2712096;1,179;0,00301;0,3;380;0,6801809782;0;0,072;18
0,708048;-0,787;0,02301;7,6;380;0,6801809782;0,101;0,291;19
-0,0538272;-1,498;0,00501;9,1;380;0,6801809782;0,129;0,263;20
-0,057456;-1,028;1e-05;7;380;0,6801809782;0,058;0,293;21
0,4269888;-1,065;0,00101;1,9;380;0,6801809782;0;0,172;22
0,5940864;-3,132;0,00301;5,4;380;0,6801809782;0,001;0,078;23
0,7049376;-5,554;0,00801;1,5;380;0,6801809782;-0,001;0,09;24
2,150496;-5,072;0,00701;0,2;380;0,6801809782;0,004;0,034;25
1,2470976;-5,783;0,01301;4,4;380;0,6801809782;-0,01;0,054;26
2,2737888;-6,213;0,01401;0,3;380;0,6801809782;-0,032;0,03;27
1,279152;-14,228;0,01701;1,3;380;0,6801809782;0,02;0,031;28
1,5147648;-11,125;0,01601;1,1;380;0,6801809782;0,014;0,029;29
0,601344;-6,909;0,00801;9,7;380;0,6801809782;0;-0,049;30
3,1327776;-1,944;0,00201;1,1;380;0,6801809782;0,195;0,063;31
1,2202272;-3,157;0,00401;0,9;380;0,6801809782;0,039;0,092;32
1,202256;-4,867;0,00801;1,1;380;0,6801809782;0,076;0,049;33
0,7293888;-5,294;0,00701;0;380;0,6801809782;0,014;0,042;34
1,0852704;-2,47;0,00401;0,8;380;0,6801809782;-0,031;0,032;35
0,2664576;-0,772;0,00101;1,1;380;0,6801809782;0;0,175;36
0,5621184;0,998;1e-05;0;380;0,6801809782;0,006;0,075;37
1,663632;-0,722;0,03401;0;380;0,6801809782;0,25;0,412;38
4,6466784;-1,952;0,04401;0;380;0,6801809782;0,201;0,141;39
2,4467616;-6,447;0,01901;0;380;0,6801809782;-0,059;0,242;40
1,0511424;-4,11;0,01101;12,3;380;0,6801809782;-0,11;0,714;41
3,9419136;-0,979;0,00701;0;380;0,6801809782;0,418;0,351;42
3,3390144;-3,709;0,01401;0;380;0,6801809782;0,186;0,37;43
1,9398528;-3,244;0,02401;11,3;380;0,6801809782;0,008;0,575;44
2,1662208;-7,2;0,02101;0,4;380;0,6801809782;0,054;0,311;45
5,6349216;-9,627;0,02901;0;380;0,6801809782;0,039;0,195;46
7,2765216;-12,729;0,02001;0;380;0,6801809782;0,003;0,19;47
3,2787936;-8,787;0,01301;0;380;0,6801809782;0,077;0,076;48
1,951776;-5,564;0,01501;1,2;380;0,6801809782;-0,011;0,05;49
2,0799072;-2,445;0,00501;0,7;380;0,6801809782;-0,011;0,043;50
4,9686912;-4,327;0,03501;0,3;380;0,6801809782;-0,057;0,244;51
6,7630464;-7,657;0,03201;0,3;380;0,6801809782;-0,008;0,145;52
