"PAR";"TAir";"VPD";"Precip";"CO2";"fAPAR";"GPPobs";"ETobs";"DOY"
-0,0197856;-11,623;0,243;2,35;380;0,529519139571069;0,027;-0,006;1
-0,0277344;-4,795;0,42;2,3;380;0,529519139571069;0,007;-0,005;2
-0,0150336;-6,226;0,362;0,45;380;0,529519139571069;-0,015;-0,026;3
0,0350784;-5,463;0,388;0,45;380;0,529519139571069;0,016;0,008;4
0,037584;-6,228;0,367;0,1;380;0,529519139571069;0,145;-0,002;5
0,0791424;-4,932;0,408;0,9;380;0,529519139571069;0,124;-0,005;6
0,0726624;-4,988;0,405;1,85;380;0,529519139571069;0,071;-0,001;7
0,0664416;-7,396;0,332;1,1;380;0,529519139571069;0,149;-0,003;8
0,055296;-11,314;0,241;1,75;380;0,529519139571069;0,106;0;9
0,0350784;-10,861;0,247;1,95;380;0,529519139571069;0,1;0,005;10
0,0212544;-8,459;0,304;0,35;380;0,529519139571069;0,007;0,006;11
0,1082592;-13,065;0,208;0,05;380;0,529519139571069;0,003;0,002;12
-0,0278208;-7,508;0,303;0;380;0,529519139571069;-0,029;-0,001;13
0,0890784;1,978;0,354;0;380;0,529519139571069;0,05;-0,005;14
0,1367712;4,222;0,521;0;380;0,529519139571069;0,049;-0,002;15
0,5293728;1,64;0,507;0;380;0,529519139571069;-0,092;-0,01;16
0,3593376;-1,306;0,409;0,05;380;0,529519139571069;0,209;-0,001;17
0,2699136;-5,653;0,371;0,05;380;0,529519139571069;0,133;-0,01;18
0,3354912;-4,271;0,345;0;380;0,529519139571069;0,119;-0,01;19
0,5940864;-7,364;0,282;0;380;0,529519139571069;0,084;-0,005;20
0,5357664;-10,676;0,246;0,05;380;0,529519139571069;0,049;-0,002;21
0,3592512;-6,797;0,31;0,1;380;0,529519139571069;-0,001;0,001;22
0,209088;-6,033;0,318;0,1;380;0,529519139571069;0,128;-0,006;23
0,5980608;-14,285;0,182;2,5;380;0,529519139571069;0,073;-0,003;24
0,6041088;-9,326;0,291;2,5;380;0,529519139571069;-0,166;0,013;25
0,323568;-2,033;0,516;0,15;380;0,529519139571069;0,044;0,011;26
0,3985632;-0,51;0,569;2,15;380;0,529519139571069;0,099;0,011;27
0,5856192;-3,021;0,457;2,3;380;0,529519139571069;0,038;0,01;28
0,5963328;-7,643;0,322;0,55;380;0,529519139571069;0,094;0,002;29
0,8634816;-14,153;0,184;0,35;380;0,529519139571069;0,058;0;30
0,6693408;-13,714;0,19;0,1;380;0,529519139571069;0,022;0;31
1,57248;-20,616;0,099;0,05;380;0,529519139571069;0,066;0,005;32
0,70632;-19,544;0,112;0,05;380;0,529519139571069;0,138;0,004;33
1,316304;-22,094;0,088;0,5;380;0,529519139571069;0,138;0,004;34
0,5694624;-19,677;0,111;1,2;380;0,529519139571069;0,195;0,002;35
0,5916672;-16,827;0,149;2,45;380;0,529519139571069;0,094;-0,002;36
1,2433824;-17,38;0,199;3,601;380;0,529519139571069;0,053;0,011;37
1,0263456;-17,247;0,177;4,201;380;0,529519139571069;0,129;0,022;38
0,9550656;-9,947;0,296;2,3;380;0,529519139571069;0,156;0,018;39
3,853872;-17,113;0,137;0;380;0,529519139571069;0,227;0,038;40
3,5300448;-12,781;0,21;0,05;380;0,529519139571069;0,324;0,069;41
4,0912128;-7,759;0,313;0,55;380;0,529519139571069;0,062;-0,014;42
2,3143104;-6,765;0,332;2,45;380;0,529519139571069;0,336;0,079;43
1,8628704;-6,548;0,338;2,15;380;0,529519139571069;0,153;0,106;44
1,9687968;-0,95;0,491;0,2;380;0,529519139571069;0,236;-0,021;45
3,0309984;-2,64;0,403;0;380;0,529519139571069;0,171;-0,025;46
4,30488;-4,262;0,338;4,401;380;0,529519139571069;0,272;0;47
2,5704864;-1,771;0,456;4,901;380;0,529519139571069;0,42;-0,007;48
4,1386464;-2,115;0,418;2,751;380;0,529519139571069;0,36;0;49
3,8095488;-2,438;0,453;4,451;380;0,529519139571069;0,33;-0,018;50
3,2805216;-10,709;0,258;2,2;380;0,529519139571069;0,128;0;51
5,2792992;-18,224;0,122;0;380;0,529519139571069;-0,022;-0,001;52
6,8292288;-25,88;0,06;0;380;0,529519139571069;0,11;-0,002;53
6,8339808;-25,836;0,06;0;380;0,529519139571069;0,002;-0,001;54
6,2663328;-23,343;0,08;1,5;380;0,529519139571069;0,004;0;55
6,4387872;-18,18;0,131;1,8;380;0,529519139571069;0,076;-0,004;56
6,7017024;-13,598;0,186;0,5;380;0,529519139571069;0,073;-0,005;57
6,1668864;-18,302;0,121;0,2;380;0,529519139571069;0,064;0,009;58
6,5809152;-22,406;0,084;0;380;0,529519139571069;0,165;-0,003;59
6,1778592;-24,844;0,065;0,65;380;0,529519139571069;0,125;-0,003;60
6,0945696;-25,076;0,072;4,351;380;0,529519139571069;0,116;0,011;61
5,1358752;-13,159;0,196;4,201;380;0,529519139571069;0,063;0,003;62
6,8271552;-15,408;0,16;0,8;380;0,529519139571069;0,061;0,017;63
8,7006528;-15,751;0,181;0,65;380;0,529519139571069;0,166;0,029;64
10,805616;-11,425;0,222;0,35;380;0,529519139571069;-0,078;0,121;65
9,2883456;-8,39;0,276;0,2;380;0,529519139571069;0,052;-0,02;66
12,7656;-11,264;0,218;0,25;380;0,529519139571069;-0,071;0,043;67
9,916128;-8,293;0,279;0,1;380;0,529519139571069;0,043;0,018;68
4,9749984;-5,317;0,37;0,75;380;0,529519139571069;0,119;-0,005;69
6,9233184;-7,666;0,315;0,75;380;0,529519139571069;0,075;0,009;70
6,6966048;-4,127;0,372;0,05;380;0,529519139571069;0,056;0;71
15,4318176;-7,788;0,286;0,45;380;0,529519139571069;0,084;0,007;72
9,7763328;-11,615;0,21;0,45;380;0,529519139571069;0,051;0,014;73
15,0537312;-10,025;0,235;0;380;0,529519139571069;0,03;0,005;74
13,894416;-12,474;0,194;0;380;0,529519139571069;0,091;0,005;75
14,0139072;-14,864;0,164;0;380;0,529519139571069;0,081;0,04;76
12,1918176;-15,16;0,139;0;380;0,529519139571069;0,13;0,008;77
18,0845568;-11,8;0,203;0,05;380;0,529519139571069;0,156;0,002;78
15,9260256;-10,72;0,227;0,35;380;0,529519139571069;0,067;0,01;79
10,8752544;-10,865;0,24;0,3;380;0,529519139571069;0,302;0,088;80
17,9394912;-11,99;0,238;0;380;0,529519139571069;0,146;0,017;81
15,8406624;-8,137;0,286;0;380;0,529519139571069;0,247;0,009;82
21,364992;-8,383;0,293;0,1;380;0,529519139571069;0,076;0,124;83
17,3613024;-10,105;0,306;0,15;380;0,529519139571069;0,148;0,071;84
21,3098688;-10,525;0,311;0,05;380;0,529519139571069;-0,123;0,022;85
20,3673312;-13,917;0,204;0;380;0,529519139571069;-0,084;0,127;86
23,709888;-14,92;0,12;0;380;0,529519139571069;-0,187;0,065;87
23,16168;-6,623;0,252;0,8;380;0,529519139571069;-0,158;0,168;88
19,6509024;-3,253;0,368;0,8;380;0,529519139571069;-0,107;0,157;89
23,4068832;-2,106;0,344;1,4;380;0,529519139571069;-0,027;0,374;90
13,4387424;-6,661;0,369;1,55;380;0,529519139571069;-0,188;0,295;91
8,7309792;-0,729;0,538;0,75;380;0,529519139571069;0,101;0,355;92
22,7559456;-6,244;0,239;3,251;380;0,529519139571069;0,197;0,24;93
13,3062048;-9,91;0,335;3,001;380;0,529519139571069;-0,46;0,7;94
22,3884864;-4,973;0,388;1,8;380;0,529519139571069;-0,154;0,369;95
9,2018592;1,107;0,609;1,45;380;0,529519139571069;-0,577;0,695;96
30,9671424;-0,095;0,352;1,8;380;0,529519139571069;-0,005;0,737;97
14,0266944;-4,524;0,4;10,752;380;0,529519139571069;0,067;0,414;98
5,2205472;-0,41;0,585;9,602;380;0,529519139571069;-0,408;0,454;99
14,619744;-0,412;0,501;0,65;380;0,529519139571069;0,014;0,728;100
31,7674656;-2,344;0,258;0;380;0,529519139571069;0,138;0,578;101
33,2859456;-6,451;0,327;0;380;0,529519139571069;-0,312;0,317;102
33,6598848;-8,459;0,316;0;380;0,529519139571069;0,064;0,182;103
34,9677216;-8,472;0,181;4,551;380;0,529519139571069;-0,345;0,374;104
16,5029184;-6,757;0,333;6,101;380;0,529519139571069;-0,245;0,335;105
24,2987904;-2,136;0,427;1,55;380;0,529519139571069;-0,053;1,613;106
29,2410432;-2,398;0,374;2,801;380;0,529519139571069;0,1;0,75;107
31,2847488;-4,34;0,294;3,301;380;0,529519139571069;-0,174;0,306;108
13,7114208;-0,711;0,531;0,5;380;0,529519139571069;0,243;0,577;109
36,3978144;-0,729;0,332;0;380;0,529519139571069;-0,079;0,624;110
33,3370944;1,422;0,397;0;380;0,529519139571069;0,019;0,448;111
35,5236192;4,001;0,466;0;380;0,529519139571069;-0,005;0,55;112
37,685952;4,871;0,406;0,35;380;0,529519139571069;0,214;0,435;113
16,9029504;2,386;0,542;0,5;380;0,529519139571069;-0,161;-0,015;114
16,8718464;4,268;0,765;5,551;380;0,529519139571069;0,31;0,185;115
21,6978912;2,933;0,69;6,201;380;0,529519139571069;0,153;0,691;116
20,5021152;3,736;0,747;1,95;380;0,529519139571069;0,208;0,961;117
16,9206624;5,238;0,802;1,15;380;0,529519139571069;0,625;0,716;118
26,722224;4,816;0,763;0;380;0,529519139571069;1,039;0,31;119
27,0970272;5,095;0,643;0,05;380;0,529519139571069;0,789;0,383;120
34,6620384;4,945;0,651;0,05;380;0,529519139571069;1,26;0,255;121
43,3301184;4,546;0,445;0;380;0,529519139571069;1,023;0,57;122
34,7278752;6,447;0,577;0;380;0,529519139571069;1,209;0,427;123
43,3536192;5,843;0,424;0;380;0,529519139571069;1,213;1,209;124
36,8648064;4,322;0,41;0,05;380;0,529519139571069;0,989;0,78;125
37,7894592;3,047;0,422;0,05;380;0,529519139571069;0,942;0,752;126
20,8779552;5,197;0,665;0;380;0,529519139571069;0,688;0,178;127
46,1407968;12,482;0,842;0,05;380;0,529519139571069;1,952;0,659;128
38,8970208;8,552;0,546;0,05;380;0,529519139571069;1,419;0,997;129
25,3019808;3,986;0,465;0,05;380;0,529519139571069;1,259;0,969;130
20,648736;2,089;0,478;1,75;380;0,529519139571069;1,546;0,61;131
28,7475264;4,259;0,604;1,7;380;0,529519139571069;1,708;1,086;132
24,352704;6,328;0,677;0,3;380;0,529519139571069;2,158;1,362;133
20,583936;4,612;0,6;0,3;380;0,529519139571069;2,045;1,054;134
29,3831712;4,916;0,552;0;380;0,529519139571069;2,307;1,04;135
36,7242336;5,843;0,527;0,2;380;0,529519139571069;2,656;0,89;136
46,0981152;8,553;0,606;2,751;380;0,529519139571069;2,96;1,44;137
12,2387328;2,491;0,657;3,851;380;0,529519139571069;1,312;1,907;138
8,0168832;2,464;0,697;1,45;380;0,529519139571069;1,311;1,466;139
17,065296;2,549;0,595;0,15;380;0,529519139571069;1,712;2,179;140
44,0541504;0,729;0,382;0,9;380;0,529519139571069;1,574;1,693;141
38,7287136;1,418;0,354;4,651;380;0,529519139571069;1,976;1,09;142
15,19776;0,062;0,567;4,001;380;0,529519139571069;1,161;0,932;143
27,9190368;1,352;0,529;0,3;380;0,529519139571069;1,7;1,618;144
18,7355808;0,828;0,445;1,45;380;0,529519139571069;1,637;1,053;145
23,6330784;1,722;0,487;1,8;380;0,529519139571069;1,674;1,017;146
16,529616;0,791;0,563;0,45;380;0,529519139571069;1,158;1,415;147
14,7062304;0,685;0,429;0,05;380;0,529519139571069;1,244;1,039;148
