"PAR";"TAir";"VPD";"Precip";"CO2";"fAPAR";"GPPobs";"ETobs";"DOY"
0,592704;-28,267;0,02;0;380;0,8355764649;0,001;0,044;1
0,4680288;-28,718;0,02;0,2;380;0,8355764649;0;0,068;2
0,5497632;-28,134;0,02;0;380;0,8355764649;0;0,152;3
0,6087744;-28,764;0,017;0;380;0,8355764649;0;0,147;4
0,5033664;-24,546;0,019;0;380;0,8355764649;0;0,036;5
0,7107264;-27,826;0,018;0,1;380;0,8355764649;0;-0,014;6
0,1850688;-19,207;0,024;1,3;380;0,8355764649;0;-0,014;7
0,5303232;-7,885;0,024;0;380;0,8355764649;0,005;0,017;8
0,6589728;-12,87;0,026;0;380;0,8355764649;0;0,093;9
0,7557408;-23,324;0,02;0,2;380;0,8355764649;-0,002;0,154;10
0,1571616;-8,857;0,023;6,5;380;0,8355764649;0;0,087;11
0,8936352;-8,101;0,026;5,8;380;0,8355764649;-0,006;0,144;12
1,4586048;-8,881;0,022;0;380;0,8355764649;0,04;0,418;13
0,4319136;-12,694;0,027;6,6;380;0,8355764649;0,002;0,163;14
0,6339168;-8,278;0,026;6,4;380;0,8355764649;0,003;0,185;15
1,0200384;-0,79;0,042;0,8;380;0,8355764649;-0,002;0,892;16
0,9523008;-1,788;0,047;0;380;0,8355764649;-0,003;0,467;17
0,957744;1,861;-999;3,7;380;0,8355764649;0,025;0,203;18
2,3977728;-3,076;-999;0;380;0,8355764649;-0,014;0,245;19
1,9264608;-11,156;-999;7;380;0,8355764649;-0,09;0,067;20
1,0719648;-1,428;-999;4,7;380;0,8355764649;0,026;0,049;21
1,1735712;0,22;0,03;3,7;380;0,8355764649;0,03;0,045;22
0,6412608;-2,134;0,033;3,2;380;0,8355764649;0,002;0,141;23
2,6005536;-11,116;0,052;0,4;380;0,8355764649;0,179;0,166;24
3,5124192;-0,912;0,071;5,6;380;0,8355764649;0,333;0,114;25
0,8019648;0,353;0,016;7,8;380;0,8355764649;0,006;0,066;26
1,6037568;-7,078;0,022;0;380;0,8355764649;-0,003;0,106;27
2,6830656;-14,108;0,026;0;380;0,8355764649;-0,008;0,178;28
3,0848256;-15,481;0,027;0;380;0,8355764649;-0,03;0,199;29
3,2367168;-21,688;0,02;0;380;0,8355764649;0,017;0,142;30
3,4796736;-23,015;0,02;0;380;0,8355764649;0,029;0,081;31
2,2068288;-18,144;0,024;1,5;380;0,8355764649;0,038;0,148;32
0,8790336;-4,125;0,031;2,2;380;0,8355764649;0,001;0,164;33
3,0050784;-7,615;0,062;0,1;380;0,8355764649;0,015;0,067;34
2,4705216;-13,133;0,041;1,6;380;0,8355764649;-0,031;0,211;35
3,442608;-14,265;0,038;0,3;380;0,8355764649;-0,029;0,194;36
4,2277248;-14,522;0,031;0,2;380;0,8355764649;0,045;0,041;37
5,5365984;-19,766;0,026;0;380;0,8355764649;0,054;0,114;38
5,8325184;-8,167;0,073;0;380;0,8355764649;0,059;0,297;39
1,1407392;-1,963;0,029;0;380;0,8355764649;0,008;0,19;40
2,3029056;-3,042;0,037;0,1;380;0,8355764649;0,006;0,252;41
1,5891552;-4,538;0,024;0;380;0,8355764649;-0,003;0,549;42
