"PAR";"TAir";"VPD";"Precip";"CO2";"fAPAR";"GPPobs";"ETobs";"DOY"
19,8025344;-2,905;0,07;3,3;380;0,8039802775;0,321;0,344;75
19,732896;-4,333;0,109;0;380;0,8039802775;0,399;0,55;76
18,3987072;-1,599;0,069;0;380;0,8039802775;0,169;0,111;77
18,8327808;-0,705;0,063;0;380;0,8039802775;0,241;0,049;78
19,268064;-0,45;0,099;0;380;0,8039802775;0,375;0,156;79
19,7244288;2,754;0,224;0;380;0,8039802775;0,395;0,168;80
20,3961024;2,13;0,287;0;380;0,8039802775;0,358;0,327;81
25,3344672;0,245;0,203;0,5;380;0,8039802775;0,732;0,458;82
18,5205312;-1,011;0,156;0;380;0,8039802775;0,49;0,235;83
25,2425376;-0,522;0,218;0;380;0,8039802775;0,686;0,262;84
21,7169856;-2,369;0,194;0;380;0,8039802775;0,503;0,212;85
27,3195072;-3,762;0,198;0;380;0,8039802775;0,478;0,186;86
28,29168;-3,91;0,212;0;380;0,8039802775;0,654;0,193;87
27,5112288;-2,36;0,282;0;380;0,8039802775;0,379;0,267;88
28,4628384;-0,935;0,301;0;380;0,8039802775;0,24;0,385;89
30,3863616;3,81;0,278;0;380;0,8039802775;0,556;0,008;90
21,2579424;4,215;0,304;0;380;0,8039802775;0,652;0,087;91
17,2005984;1,481;0,207;0;380;0,8039802775;0,627;0,127;92
26,5009536;-4,085;0,25;0,2;380;0,8039802775;0,563;0,276;93
10,3258368;-2,47;0,109;0;380;0,8039802775;0,374;0,24;94
16,0927776;0,962;0,081;1;380;0,8039802775;0,822;0,179;95
3,8187072;0,286;0,053;12;380;0,8039802775;0,358;-0,013;96
25,2230112;0,047;0,227;3,1;380;0,8039802775;0,487;0,468;97
33,0241536;1,334;0,318;0;380;0,8039802775;0,871;0,313;98
34,5989664;1,398;0,35;0;380;0,8039802775;0,871;0,342;99
35,29872;2,437;0,355;0;380;0,8039802775;0,737;0,092;100
28,0155456;4,525;0,37;0;380;0,8039802775;0,886;0,131;101
7,3243872;2,27;0,088;0;380;0,8039802775;1,119;0,082;102
17,5455072;3,023;0,157;0,2;380;0,8039802775;1,869;0,269;103
31,3003872;4,378;0,209;0,2;380;0,8039802775;2,073;0,23;104
6,12144;1,456;0,022;6;380;0,8039802775;0,949;0,08;105
10,3137408;1,806;0,06;6,6;380;0,8039802775;1,307;0,136;106
28,6641504;4,255;0,21;4,6;380;0,8039802775;2,396;0,651;107
8,5053024;3,817;0,073;0,1;380;0,8039802775;1,452;0,089;108
18,8987904;5,764;0,183;6,1;380;0,8039802775;2,878;0,333;109
33,5555136;9,809;0,43;0,7;380;0,8039802775;2,64;0,51;110
17,93232;9,432;0,284;0;380;0,8039802775;2,707;0,274;111
34,5495456;10,346;0,413;0,1;380;0,8039802775;2,833;0,327;112
33,6314592;9,39;0,393;0;380;0,8039802775;3,005;0,378;113
25,9606944;9,699;0,466;0;380;0,8039802775;3,043;0,651;114
17,0703936;9,642;0,189;5,1;380;0,8039802775;3,345;0,576;115
20,6870976;9,881;0,314;0,2;380;0,8039802775;3,239;0,441;116
31,1088384;6,154;0,25;0;380;0,8039802775;4,515;0,581;117
22,2601824;5,959;0,467;0;380;0,8039802775;4,105;0,841;118
16,1880768;5,952;0,198;0,1;380;0,8039802775;3,133;0,43;119
17,1357984;7,732;0,195;5,2;380;0,8039802775;3,792;0,48;120
44,4793248;4,783;0,404;0;380;0,8039802775;4,728;1,136;121
44,4654144;3,518;0,486;0;380;0,8039802775;4,202;0,981;122
35,5765824;5,468;0,549;0;380;0,8039802775;3,314;0,917;123
8,4605472;5,206;0,177;0;380;0,8039802775;1,766;0,224;124
41,520816;7,044;0,381;6,4;380;0,8039802775;4,909;1,695;125
39,8789568;8,365;0,517;0;380;0,8039802775;4,406;1,187;126
47,2345344;6,096;0,524;0;380;0,8039802775;4,797;1,189;127
42,6765888;8,217;0,706;0;380;0,8039802775;4,083;1,046;128
39,6792864;9,071;0,554;0;380;0,8039802775;5,407;1,033;129
46,975248;11,312;0,669;0;380;0,8039802775;5,077;1,104;130
38,7057312;13,665;0,766;0;380;0,8039802775;3,664;1,11;131
28,8146592;5,065;0,399;0;380;0,8039802775;4,682;1,213;132
37,122192;1,974;0,395;0,9;380;0,8039802775;4,317;1,039;133
20,3721696;5,685;0,343;0;380;0,8039802775;3,461;0,763;134
2,7463968;8,265;0,54;0,3;380;0,8039802775;4,403;1,311;135
6,6936672;9,732;0,593;0;380;0,8039802775;4,982;1,28;136
10,703232;8,541;0,665;0;380;0,8039802775;5,419;0,947;137
37,3228128;13,082;0,849;0,6;380;0,8039802775;4,838;1,565;138
44,0062848;14,66;0,915;0;380;0,8039802775;5,51;1,551;139
41,4857376;15,999;1,043;0;380;0,8039802775;5,217;1,265;140
50,4400608;15,731;1,127;0;380;0,8039802775;5,72;1,547;141
46,6393248;13,441;0,846;0;380;0,8039802775;6,841;1,497;142
13,892688;10,648;0,267;0;380;0,8039802775;4,398;0,429;143
44,5078368;10,576;0,293;0;380;0,8039802775;6,109;0,949;144
37,1047392;12,174;0,515;1,9;380;0,8039802775;6,098;1,8;145
23,7841056;11,535;0,425;3,5;380;0,8039802775;5,054;1,346;146
11,0774304;8,3;0,1;10,9;380;0,8039802775;2,622;0,351;147
52,4244096;10,291;0,577;6,6;380;0,8039802775;6,113;1,942;148
41,9643072;11,584;0,589;4,7;380;0,8039802775;6,169;1,942;149
11,4267456;10,471;0,213;0;380;0,8039802775;3,638;0,329;150
21,1381056;9,997;0,359;3,3;380;0,8039802775;6,133;1,01;151
37,3011264;8,959;0,366;0,1;380;0,8039802775;7,016;1,528;152
40,15008;9,926;0,429;0,6;380;0,8039802775;7,22;1,256;153
28,2698208;9,173;0,244;0;380;0,8039802775;5,293;0,803;154
25,7529888;8,607;0,281;7,3;380;0,8039802775;5,629;1,007;155
10,2555072;5,228;0,117;1,7;380;0,8039802775;3,65;0,018;156
30,2234976;9,132;0,36;1,9;380;0,8039802775;7,191;1,298;157
33,754752;10,593;0,382;0,1;380;0,8039802775;8,024;1,226;158
19,1415744;9,326;0,167;0;380;0,8039802775;6,002;0,895;159
13,5111456;8,091;0,057;7,5;380;0,8039802775;4,216;-0,001;160
44,9237664;12,8;0,639;8;380;0,8039802775;8,191;2,185;161
54,646272;14,61;0,921;0,1;380;0,8039802775;9,049;0,242;162
42,477696;18,064;1,051;0;380;0,8039802775;8,452;2,074;163
27,3530304;12,783;0,479;0;380;0,8039802775;7,299;1,226;164
38,5025184;13,368;0,594;0,1;380;0,8039802775;8,05;1,799;165
41,9498784;11,994;0,697;0;380;0,8039802775;7,827;2,054;166
45,440352;9,863;0,558;0;380;0,8039802775;8,034;1,856;167
33,042816;7,683;0,359;0;380;0,8039802775;8,951;1,407;168
27,9789984;6,859;0,447;0;380;0,8039802775;9,007;1,604;169
45,7502688;9,816;0,643;0;380;0,8039802775;7,962;1,574;170
27,4820256;11,197;0,332;1,2;380;0,8039802775;7,402;0,374;171
37,2358944;15,367;0,631;0;380;0,8039802775;8,504;1,466;172
54,7280064;17,581;1,289;0;380;0,8039802775;9,488;2,102;173
47,026224;20,876;1,302;0;380;0,8039802775;9,594;1,57;174
41,4497952;17,181;0,701;1,2;380;0,8039802775;7,517;1,824;175
35,182512;15,902;0,638;0;380;0,8039802775;8,993;1,497;176
31,562352;16,779;0,698;0;380;0,8039802775;8,965;1,476;177
12,7659456;15,246;0,138;1;380;0,8039802775;4,391;0,252;178
22,2608736;14,194;0,311;3;380;0,8039802775;7,282;0,535;179
38,5990272;16,273;0,662;0,1;380;0,8039802775;9,346;0,866;180
42,8268384;20,995;0,872;0,3;380;0,8039802775;9,084;0,924;181
33,6851136;20,002;0,667;0;380;0,8039802775;9,374;0,736;182
37,0311264;15,044;0,453;5,4;380;0,8039802775;7,947;0,803;183
25,207632;15,26;0,456;0,1;380;0,8039802775;6,457;0,563;184
41,3122464;17,3;0,681;0,9;380;0,8039802775;7,305;3,261;185
40,0316256;17,522;0,612;0,1;380;0,8039802775;8,637;2,54;186
38,3851872;16,907;0,586;1,1;380;0,8039802775;8,179;2,501;187
49,2737472;16,605;0,702;2,9;380;0,8039802775;8,97;2,9;188
38,8055232;15,277;0,57;0,1;380;0,8039802775;6,94;2,379;189
27,7545312;13,222;0,279;6,9;380;0,8039802775;6,697;0,145;190
28,5723936;11,517;0,162;0,5;380;0,8039802775;6,568;1,502;191
45,3014208;13,584;0,554;10,5;380;0,8039802775;8,329;3,3;192
41,624928;16,989;0,89;0,1;380;0,8039802775;8,097;3,49;193
37,4367744;18,436;0,755;0,1;380;0,8039802775;7,545;2,44;194
20,1452832;15,077;0,208;0,3;380;0,8039802775;7,399;2,091;195
18,9252288;13,18;0,405;5,6;380;0,8039802775;7,092;1,718;196
20,6718048;15,381;0,304;0,1;380;0,8039802775;6,589;1,534;197
22,6201248;15,193;0,077;12,4;380;0,8039802775;7,126;1,764;198
32,7521664;16,429;0,398;8;380;0,8039802775;8,099;3,232;199
34,6825152;18,374;0,379;9,1;380;0,8039802775;8,688;3,271;200
15,2793216;16,361;0,09;0,6;380;0,8039802775;6,285;1,469;201
19,726416;15,195;0,297;11,4;380;0,8039802775;8,371;1,891;202
32,5525824;17,681;0,532;0,3;380;0,8039802775;10,581;2,939;203
13,660272;15,804;0,127;0,2;380;0,8039802775;5,711;1,012;204
10,5487488;16,155;0,13;18,2;380;0,8039802775;5,305;0,742;205
39,0331872;17,244;0,525;2;380;0,8039802775;10,226;3,193;206
6,2025696;14,42;0,112;2,7;380;0,8039802775;2,284;0,319;207
13,608864;11,271;0,163;7,7;380;0,8039802775;6,326;1,205;208
49,6732608;13,11;0,698;0,1;380;0,8039802775;9,727;4,07;209
18,9432;12,193;0,381;0;380;0,8039802775;7,208;2,09;210
43,203888;16,078;0,662;0,1;380;0,8039802775;10,571;4,026;211
27,2230848;15,384;0,393;0,3;380;0,8039802775;7,256;0,18;212
23,2664832;14,334;0,285;0,5;380;0,8039802775;7,379;1,216;213
18,5031648;13,881;0,13;12,4;380;0,8039802775;6,599;1,666;214
24,4673568;14,349;0,304;7,3;380;0,8039802775;7,205;1,843;215
34,2458496;14,426;0,283;0,1;380;0,8039802775;8,401;2,295;216
33,1539264;14,545;0,31;0,9;380;0,8039802775;7,568;2,847;217
41,0577984;15,919;0,518;3,6;380;0,8039802775;8,733;2,873;218
25,5417408;14,624;0,27;0,1;380;0,8039802775;8,235;1,781;219
34,9666848;13,119;0,441;4,7;380;0,8039802775;8,528;2,908;220
26,7973056;10,577;0,186;0,1;380;0,8039802775;8,164;2,185;221
20,2862016;10,751;0,135;4,5;380;0,8039802775;6,637;1,65;222
26,27856;12,977;0,325;2,4;380;0,8039802775;7,464;2,619;223
32,7633984;14,099;0,451;0,1;380;0,8039802775;7,817;2,071;224
12,2944608;12,636;0,113;0;380;0,8039802775;5,048;0,794;225
17,7297984;14,401;0,252;2,6;380;0,8039802775;6,773;1,276;226
33,6115008;15,888;0,716;0,2;380;0,8039802775;8,64;2,659;227
5,7043872;13,486;0,09;0;380;0,8039802775;3,497;0,27;228
34,7866272;15,36;0,364;7;380;0,8039802775;7,29;2,909;229
30,6109152;13,542;0,384;0;380;0,8039802775;8,249;2,386;230
23,9296896;12,634;0,184;0;380;0,8039802775;6,837;1,466;231
32,7379968;13,141;0,34;5,1;380;0,8039802775;7,357;2,722;232
31,6692288;13,257;0,422;0,1;380;0,8039802775;7,332;2,373;233
14,2565184;13,054;0,139;8;380;0,8039802775;4,841;1,229;234
20,2457664;11,803;0,131;6,8;380;0,8039802775;5,872;1,581;235
12,5999712;11,307;0,106;17;380;0,8039802775;4,47;1,094;236
26,6934528;11,064;0,261;1,5;380;0,8039802775;6,747;1,999;237
29,779056;11,714;0,297;0,5;380;0,8039802775;6,043;2,149;238
35,579952;12,833;0,492;0,7;380;0,8039802775;6,705;2,385;239
35,4967488;13,78;0,502;0;380;0,8039802775;6,869;2,596;240
33,6775968;14,49;0,526;0;380;0,8039802775;6,881;2,541;241
28,720656;14,084;0,488;0;380;0,8039802775;6,462;2,255;242
31,2646176;14,569;0,59;0;380;0,8039802775;7,131;2,404;243
