run,cv_splits,shuffled,n_trees,depth,rmse_train,rmse_val,mae_train,mae_val
0,6,False,200,4,0.5549915689908906,0.6525946549498086,0.39611427240840286,0.4776715242797751
1,6,False,200,5,0.5101681055021468,0.6346239198418483,0.3611559887480636,0.4629796035959361
2,6,False,200,6,0.46427783291615693,0.6234515014282945,0.3269808205582421,0.4534753618282629
3,6,False,200,7,0.41818176355099196,0.6220953887321937,0.2934639932925379,0.4513720970853028
4,6,False,300,4,0.5550301905651381,0.6536923546666014,0.39587841573243887,0.4782310556007106
5,6,False,300,5,0.5107536594773281,0.6354606083537272,0.36131039993621616,0.46334557642650415
6,6,False,300,6,0.46528078893107944,0.6232859353248327,0.32737364700889965,0.4530190597626241
8,6,False,400,4,0.55488123663315,0.6523965818813445,0.39592564001049696,0.4775964286869215
7,6,False,300,7,0.4189455711636225,0.6223903181392668,0.2934425668172242,0.4511772049678618
9,6,False,400,5,0.5107051276920678,0.6353530686134379,0.3614555092489797,0.4635090913912345
12,6,False,500,4,0.5551121725283396,0.6513559633946324,0.39624677921265045,0.47654590566147786
10,6,False,400,6,0.46505302151766864,0.6237937275202208,0.32741464476440457,0.4541373574029979
13,6,False,500,5,0.5105060806032279,0.6340407439338407,0.36134284749845874,0.46271336492554044
11,6,False,400,7,0.4185130067727087,0.6230685718385937,0.2934227556263623,0.45225748298548946
14,6,False,500,6,0.46473761150337006,0.6231785642627963,0.32721670510533074,0.4536500020848661
15,6,False,500,7,0.41826124809581505,0.6223578829614417,0.29326796523292203,0.45195607673503324
