run,cv_splits,shuffled,n_trees,depth,rmse_train,rmse_val,mae_train,mae_val
0,5,False,200,4,1.400038317790039,2.21724118810691,0.9777886555761561,1.8944020392356407
1,5,False,200,5,1.2703408738653876,2.1457078541146197,0.8838314292374732,1.857018716373989
2,5,False,200,6,1.139312065040246,2.141425973651315,0.7930257296742622,1.870539357574104
3,5,False,200,7,1.0091696935567176,2.1476488975588035,0.7034420103385128,1.8854207687611577
4,5,False,300,4,1.3997483363574148,2.2184035014636208,0.976821140569518,1.8951548512754364
5,5,False,300,5,1.2706760590239763,2.140786949528219,0.883694984153078,1.8533932504623851
6,5,False,300,6,1.1413198697693376,2.139286699725813,0.7937355023449466,1.8694785657506057
8,5,False,400,4,1.3997245307533812,2.212902591065021,0.9768637710789762,1.8910028851184602
7,5,False,300,7,1.0120252161306913,2.1451466387833884,0.7046913735895407,1.8844072486718795
9,5,False,400,5,1.2709130082116031,2.1493492635273777,0.8834742411282308,1.8590955114871544
12,5,False,500,4,1.3993541892483594,2.2129559169687267,0.9767154073588818,1.8904967296228221
10,5,False,400,6,1.1402797649050236,2.14653916680474,0.7927846759944591,1.875613555007894
11,5,False,400,7,1.010229922526236,2.1525917291832437,0.7037375050977035,1.8903204529688733
13,5,False,500,5,1.2717705833294732,2.143257071893975,0.8838715361761977,1.853449506485284
14,5,False,500,6,1.1409070948087556,2.1375526757472794,0.7932323947898257,1.8671670053913547
15,5,False,500,7,1.0106036692073492,2.1494509866092066,0.7040648422891722,1.8862732161541764
