run,execution_time,hiddensize,batchsize,learningrate,history,rmse_train,rmse_val,mae_train,mae_val
21,97.31905961036682,16,64,0.01,0,0.2672230005264282,0.3339763581752777,0.17256630957126617,0.21186847984790802
39,105.29432153701782,64,64,0.001,1,0.33125969767570496,0.36569488048553467,0.2205388993024826,0.2434828132390976
23,106.35273551940918,64,8,0.001,2,0.34979525208473206,0.3732360899448395,0.24342608451843262,0.26078131794929504
12,107.26040840148926,16,64,0.01,1,0.26814261078834534,0.32652416825294495,0.174837127327919,0.2108704298734665
35,112.54683041572571,64,128,0.005,0,0.2603180706501007,0.3292147219181061,0.1677875518798828,0.2124624103307724
22,112.64518690109253,16,128,0.01,2,0.2592683732509613,0.3387496769428253,0.1696886569261551,0.2216712236404419
36,114.10407710075378,64,128,0.005,2,0.25514206290245056,0.32751035690307617,0.1663823276758194,0.2098909616470337
11,115.82179546356201,16,256,0.005,0,0.2641196548938751,0.3266516625881195,0.16938132047653198,0.20965339243412018
42,116.11530303955078,64,128,0.001,2,0.31716930866241455,0.35283902287483215,0.20796088874340057,0.2301635891199112
19,120.35261583328247,128,8,0.05,1,0.30980607867240906,0.35753965377807617,0.2112620323896408,0.24065165221691132
46,122.55799579620361,64,128,0.01,2,0.24283041059970856,0.33737242221832275,0.1638219952583313,0.22331851720809937
49,125.08395171165466,16,512,0.01,1,0.2477208971977234,0.3387039601802826,0.16155432164669037,0.21895533800125122
28,131.29621505737305,128,128,0.05,1,0.21781682968139648,0.3826090395450592,0.15570245683193207,0.2600899338722229
17,131.53770184516907,128,128,0.01,0,0.24490495026111603,0.3356194794178009,0.16551245748996735,0.22522209584712982
48,131.36189556121826,128,128,0.005,0,0.2578240931034088,0.3289874196052551,0.1676131933927536,0.21264706552028656
43,131.43431067466736,64,256,0.05,1,0.19900979101657867,0.37653490900993347,0.13724558055400848,0.24891476333141327
32,131.77537322044373,128,128,0.001,1,0.3044978082180023,0.34079280495643616,0.19887912273406982,0.2224568873643875
5,132.89970517158508,64,128,0.001,2,0.31660839915275574,0.35073789954185486,0.2082579880952835,0.22973884642124176
40,140.65660643577576,256,8,0.005,0,0.31033387780189514,0.35409310460090637,0.21549557149410248,0.24215658009052277
13,142.54295229911804,16,512,0.05,2,0.2407463788986206,0.33965733647346497,0.16115927696228027,0.22261138260364532
26,142.55625438690186,16,512,0.05,2,0.239058256149292,0.33911728858947754,0.1596253365278244,0.2225809544324875
