run,execution_time,hiddensize,batchsize,learningrate,history,activation,rmse_train,rmse_val,mae_train,mae_val
30,49127.217517375946,8,16,0.005,3,<function relu at 0x7f31e44a4f28>,1.4325090646743774,1.820238709449768,0.8726047277450562,1.0119762420654297
30,53993.60516452789,16,32,0.001,3,<function relu at 0x7f31e44a4f28>,1.053290605545044,1.9890276193618774,0.6583805084228516,1.079254388809204
30,81710.92507171631,64,32,0.005,3,<function relu at 0x7f31e44a4f28>,0.5886686444282532,1.9596484899520874,0.3616318106651306,1.0730072259902954
30,82801.90333104134,32,128,0.0001,3,<function relu at 0x7f31e44a4f28>,1.2416107654571533,1.8764474391937256,0.7636123895645142,1.1200463771820068
30,83362.10429406166,64,16,0.01,3,<function relu at 0x7f31e44a4f28>,1.3791711330413818,1.7823264598846436,0.8130121231079102,0.9909249544143677
30,92284.01968884468,32,256,0.0001,3,<function relu at 0x7f31e44a4f28>,1.0380127429962158,1.9650194644927979,0.662441611289978,1.1527910232543945
30,92907.90054154396,64,128,0.001,3,<function relu at 0x7f31e44a4f28>,0.15949149429798126,2.1018505096435547,0.10771969705820084,1.2400482892990112
30,96139.52122998238,8,64,0.01,7,<function relu at 0x7f31e44a4f28>,1.3820431232452393,1.8616001605987549,0.8158230781555176,1.0094947814941406
30,120158.73753428459,128,16,0.0001,3,<function relu at 0x7f31e44a4f28>,1.1684460639953613,1.9034115076065063,0.7234716415405273,1.145209550857544
30,143091.8034274578,128,256,0.001,3,<function relu at 0x7f31e44a4f28>,0.08894599974155426,1.944480538368225,0.05846365541219711,1.1178723573684692
30,144680.53629040718,16,8,0.0001,14,<function relu at 0x7f31e44a4f28>,1.6637195348739624,1.7247695922851562,0.955938458442688,1.010046362876892
30,148020.65228796005,16,32,0.001,14,<function relu at 0x7f31e44a4f28>,0.947104275226593,2.104853391647339,0.6094973683357239,1.1750376224517822
30,151557.99139022827,128,256,0.01,3,<function relu at 0x7f31e44a4f28>,0.41058939695358276,1.955693006515503,0.2545020878314972,1.056023359298706
30,159986.67663168907,64,128,0.01,7,<function relu at 0x7f31e44a4f28>,0.4978610873222351,1.945626974105835,0.3060188591480255,1.0503668785095215
30,161981.98986887932,64,256,0.005,7,<function relu at 0x7f31e44a4f28>,0.09692148864269257,1.93792724609375,0.06554387509822845,1.0818469524383545
30,168022.14860749245,32,8,0.0001,14,<function relu at 0x7f31e44a4f28>,1.5399060249328613,1.7644973993301392,0.8705891370773315,1.0480492115020752
30,171569.4139072895,16,128,0.001,14,<function relu at 0x7f31e44a4f28>,0.7291844487190247,2.4374921321868896,0.4871523976325989,1.3054434061050415
30,177909.4870557785,16,256,0.001,14,<function relu at 0x7f31e44a4f28>,0.6680788397789001,2.5417144298553467,0.43418437242507935,1.3315296173095703
30,195547.36326146126,128,16,0.001,7,<function relu at 0x7f31e44a4f28>,0.3294714093208313,1.8914419412612915,0.2140883207321167,1.0611387491226196
30,196334.74126195908,128,8,0.001,7,<function relu at 0x7f31e44a4f28>,0.7058695554733276,1.8341197967529297,0.40545520186424255,1.0038931369781494
30,196554.17805099487,128,16,0.001,7,<function relu at 0x7f31e44a4f28>,0.3096092939376831,1.8732860088348389,0.20062167942523956,1.0368074178695679
30,208985.19304323196,64,8,0.001,14,<function relu at 0x7f31e44a4f28>,0.8689397573471069,1.9052495956420898,0.5405862927436829,1.0774513483047485
30,212706.63545012474,128,16,0.01,7,<function relu at 0x7f31e44a4f28>,1.3920190334320068,1.8092769384384155,0.8261171579360962,1.0321691036224365
30,213069.92703652382,64,64,0.0001,14,<function relu at 0x7f31e44a4f28>,0.5891257524490356,2.1839561462402344,0.3960127830505371,1.285729169845581
30,216085.62605834007,128,64,0.01,7,<function relu at 0x7f31e44a4f28>,0.7035507559776306,1.919470191001892,0.4079359471797943,1.052450180053711
30,219642.05662608147,128,256,0.01,7,<function relu at 0x7f31e44a4f28>,0.32670196890830994,1.9273799657821655,0.19607999920845032,1.0498236417770386
30,250991.64212727547,128,256,0.001,14,<function relu at 0x7f31e44a4f28>,0.04116366058588028,1.8970072269439697,0.027545467019081116,1.077231764793396
30,256607.95418334007,256,8,0.01,7,<function relu at 0x7f31e44a4f28>,1.658291220664978,1.7800731658935547,0.963503360748291,1.0353245735168457
30,265860.91121554375,256,32,0.01,7,<function relu at 0x7f31e44a4f28>,1.0523768663406372,1.9021224975585938,0.6227205991744995,1.0684237480163574
30,277294.5286991596,256,32,0.005,14,<function relu at 0x7f31e44a4f28>,0.42444366216659546,1.863030195236206,0.2702302634716034,1.0460126399993896
