run,cv_splits,shuffled,n_trees,depth,rmse_train,rmse_val,mae_train,mae_val
0,5,False,200,4,1.3596797461410037,1.4789394092966157,0.6937496806442207,0.7507337237919485
1,5,False,200,5,1.2424486391687106,1.4316060063904712,0.612237575922722,0.6953912933831009
2,5,False,200,6,1.1276357407635413,1.3998927681602418,0.5406942296733508,0.6575488309458531
4,5,False,300,4,1.3580838473760555,1.4803092523824521,0.6933509579619965,0.7507022686618617
3,5,False,200,7,1.019519837811205,1.3813076284831396,0.4786915036232595,0.6320642179161516
5,5,False,300,5,1.2417014883456834,1.4311703305607684,0.6122564970376021,0.695468008863711
8,5,False,400,4,1.3589461660528064,1.4787836570017923,0.6937245319746351,0.7511358179197277
6,5,False,300,6,1.1278496067537631,1.3989217556747593,0.5401785861013285,0.6578969410094005
7,5,False,300,7,1.0209734254822185,1.38084369991464,0.4784037546212973,0.6339308130357959
9,5,False,400,5,1.2424750858964946,1.4324348541161804,0.6126022674201235,0.6972457321820477
12,5,False,500,4,1.3605030169656112,1.4806450677094571,0.6935956594061625,0.751777811521678
10,5,False,400,6,1.1294276187399455,1.4007885519105145,0.5409290023563844,0.6576609822082624
16,5,False,600,4,1.3602393883083301,1.4795364190518367,0.6935129085783426,0.7506950848829469
13,5,False,500,5,1.242912325481416,1.4321590695416928,0.6122346544296482,0.6965177380445364
11,5,False,400,7,1.022340352266863,1.380759153431852,0.47942283544415176,0.6329091112335321
14,5,False,500,6,1.1306073997632489,1.4009319331248147,0.5409696314723554,0.6574178731273527
20,5,False,700,4,1.3595190443906997,1.479763002070902,0.693333197345249,0.7503523549606774
17,5,False,600,5,1.2422809778596071,1.4315937781041232,0.6119365687870342,0.6959605072005827
15,5,False,500,7,1.02383586134505,1.379151765521579,0.4795035208900013,0.632614356437746
18,5,False,600,6,1.129747135133002,1.4007294829973849,0.5406885889845583,0.6577340787779393
21,5,False,700,5,1.2427686584612085,1.4327698952119639,0.6122796242287584,0.6966417244170595
19,5,False,600,7,1.0233826780694977,1.37733094188128,0.479262184952398,0.6324826715432491
22,5,False,700,6,1.1303814905898568,1.4006076090526625,0.5408023655582539,0.6576517342144472
23,5,False,700,7,1.0240836991413407,1.3787764516125094,0.4793334353067323,0.6326753182192795
