run,execution_time,hiddensize,batchsize,learningrate,history,activation,rmse_train,rmse_val,mae_train,mae_val
30,36319.837890625,16,64,0.01,3,<function relu at 0x7f06c75720d0>,1.397667646408081,2.581090211868286,1.0061241388320923,1.7305881977081299
30,43648.69937157631,32,16,0.0001,3,<function relu at 0x7f06c75720d0>,2.1845784187316895,2.3238115310668945,1.6205494403839111,1.6983592510223389
30,52170.517936229706,32,128,0.001,3,<function relu at 0x7f06c75720d0>,1.529604196548462,2.5062010288238525,1.0933984518051147,1.7205753326416016
30,66554.57956600189,64,128,0.005,3,<function relu at 0x7f06c75720d0>,0.4342619776725769,2.8169074058532715,0.3148575723171234,1.9032039642333984
30,74780.87605285645,16,128,0.0001,7,<function relu at 0x7f06c75720d0>,1.9821624755859375,2.301936626434326,1.4351861476898193,1.6385700702667236
30,75229.6211733818,32,32,0.0001,7,<function relu at 0x7f06c75720d0>,1.9960689544677734,2.3221077919006348,1.4491900205612183,1.6599798202514648
30,78488.3105711937,32,64,0.01,7,<function relu at 0x7f06c75720d0>,0.7594085931777954,2.6598565578460693,0.5408177375793457,1.7795677185058594
30,94373.73632407188,32,256,0.0001,7,<function relu at 0x7f06c75720d0>,1.8234361410140991,2.339343547821045,1.3032557964324951,1.6375480890274048
30,99282.05926322937,128,256,0.005,3,<function relu at 0x7f06c75720d0>,0.24979574978351593,2.7082295417785645,0.17301133275032043,1.8173325061798096
30,130161.96330022812,32,16,0.01,14,<function relu at 0x7f06c75720d0>,1.2765953540802002,2.481625556945801,0.8801496624946594,1.6642673015594482
30,135606.9233803749,32,32,0.001,14,<function relu at 0x7f06c75720d0>,1.2993584871292114,2.424931049346924,0.8905080556869507,1.6603997945785522
30,135798.75406837463,32,32,0.001,14,<function relu at 0x7f06c75720d0>,1.3133065700531006,2.5651187896728516,0.9096282720565796,1.7567723989486694
30,138669.99419736862,256,32,0.0001,3,<function relu at 0x7f06c75720d0>,1.971708059310913,2.338850259780884,1.429276704788208,1.6571022272109985
30,139996.33422660828,256,64,0.001,3,<function relu at 0x7f06c75720d0>,0.7989450693130493,2.7416677474975586,0.5566367506980896,1.8203754425048828
30,144275.47958254814,256,256,0.001,3,<function relu at 0x7f06c75720d0>,0.29625803232192993,2.8642821311950684,0.21473868191242218,1.9662355184555054
30,145172.1183333397,32,128,0.005,14,<function relu at 0x7f06c75720d0>,0.6714638471603394,2.6749606132507324,0.4700201451778412,1.7865444421768188
30,145782.9339146614,32,128,0.0001,14,<function relu at 0x7f06c75720d0>,1.7159712314605713,2.357877016067505,1.220481514930725,1.652111291885376
30,151293.4080107212,128,32,0.0001,7,<function relu at 0x7f06c75720d0>,1.8774954080581665,2.396660089492798,1.3551464080810547,1.6841926574707031
30,155267.27907061577,128,128,0.005,7,<function relu at 0x7f06c75720d0>,0.2804335057735443,2.576547622680664,0.19093014299869537,1.7448022365570068
30,169731.3462152481,64,128,0.01,14,<function relu at 0x7f06c75720d0>,0.4277729392051697,2.5827596187591553,0.3082680106163025,1.7394263744354248
30,206291.47916269302,128,16,0.005,14,<function relu at 0x7f06c75720d0>,1.128068208694458,2.4873595237731934,0.7713721990585327,1.6790778636932373
30,207302.59638142586,128,32,0.001,14,<function relu at 0x7f06c75720d0>,0.8857854604721069,2.5688986778259277,0.5863232612609863,1.7667264938354492
30,208220.4560778141,128,32,0.001,14,<function relu at 0x7f06c75720d0>,0.8588453531265259,2.5922176837921143,0.5726214647293091,1.7651207447052002
30,208273.49919247627,128,16,0.0001,14,<function relu at 0x7f06c75720d0>,1.791434645652771,2.350630044937134,1.2869765758514404,1.6459465026855469
30,210227.46793198586,256,32,0.005,7,<function relu at 0x7f06c75720d0>,0.47538089752197266,2.5160152912139893,0.3339043855667114,1.6955915689468384
30,210230.1877963543,256,32,0.001,7,<function relu at 0x7f06c75720d0>,0.7472167015075684,2.7158286571502686,0.5185222029685974,1.836403250694275
30,211301.26253914833,128,128,0.01,14,<function relu at 0x7f06c75720d0>,0.2056845873594284,2.523893356323242,0.1462271362543106,1.6970033645629883
30,212641.3354742527,256,128,0.0001,7,<function relu at 0x7f06c75720d0>,1.3759496212005615,2.5200107097625732,0.9651346206665039,1.7349865436553955
30,212670.9405694008,256,128,0.0001,7,<function relu at 0x7f06c75720d0>,1.3523391485214233,2.5308218002319336,0.9491192102432251,1.7290910482406616
30,220692.3448472023,256,16,0.01,14,<function relu at 0x7f06c75720d0>,1.0444523096084595,2.525125026702881,0.7012129426002502,1.6963613033294678
