run,execution_time,hiddensize,batchsize,learningrate,history,activation,rmse_train,rmse_val,mae_train,mae_val
50,29868.36220240593,8,16,0.0001,3,<function relu at 0x7f3b997410d0>,2.013061046600342,2.7453420162200928,1.5475437641143799,2.0804755687713623
50,31636.45152235031,8,32,0.0001,3,<function relu at 0x7f3b997410d0>,1.9944279193878174,2.733635902404785,1.5326099395751953,2.070643663406372
50,31917.575228214264,8,32,0.01,3,<function relu at 0x7f3b997410d0>,1.3909403085708618,2.9417755603790283,1.0409883260726929,2.161297559738159
50,32738.228260993958,16,32,0.005,3,<function relu at 0x7f3b997410d0>,1.0626322031021118,3.087181568145752,0.7898887395858765,2.2442240715026855
50,39419.38545393944,8,128,0.001,3,<function relu at 0x7f3b997410d0>,1.6385787725448608,2.7860801219940186,1.2253687381744385,2.072911024093628
50,42489.4757707119,32,16,0.001,3,<function relu at 0x7f3b997410d0>,1.5180352926254272,2.8651058673858643,1.1370056867599487,2.1285831928253174
50,48300.04271197319,8,256,0.001,3,<function relu at 0x7f3b997410d0>,1.5882625579833984,2.82639741897583,1.1831390857696533,2.1008591651916504
50,48313.38985133171,8,256,0.0001,3,<function relu at 0x7f3b997410d0>,1.927774429321289,2.6919734477996826,1.4757745265960693,2.042015790939331
50,50112.491825819016,8,16,0.01,7,<function relu at 0x7f3b997410d0>,1.3604505062103271,3.1071674823760986,1.019408106803894,2.329688310623169
50,50298.94654607773,16,32,0.0001,7,<function relu at 0x7f3b997410d0>,1.8871982097625732,2.6451456546783447,1.4401174783706665,2.0175585746765137
50,51136.67313694954,16,256,0.005,3,<function relu at 0x7f3b997410d0>,0.6198934316635132,3.6053390502929688,0.4487161636352539,2.5749475955963135
50,51520.714522600174,8,32,0.001,7,<function relu at 0x7f3b997410d0>,1.6164554357528687,2.8256120681762695,1.1999472379684448,2.1407618522644043
50,55877.520386219025,64,16,0.0001,3,<function relu at 0x7f3b997410d0>,1.9208797216415405,2.67838716506958,1.4670140743255615,2.042821168899536
50,56330.903517484665,64,32,0.001,3,<function relu at 0x7f3b997410d0>,0.8809840083122253,3.1146600246429443,0.6392062306404114,2.2647438049316406
50,56558.171100616455,64,32,0.0001,3,<function relu at 0x7f3b997410d0>,1.890202283859253,2.703911304473877,1.4402172565460205,2.063194513320923
50,72472.30553746223,128,8,0.01,3,<function relu at 0x7f3b997410d0>,0.8838587999343872,3.011070489883423,0.6371866464614868,2.227982997894287
50,73380.18747115135,128,16,0.005,3,<function relu at 0x7f3b997410d0>,0.4665374755859375,3.037001371383667,0.3332189619541168,2.2213521003723145
