run,cv_splits,shuffled,n_trees,depth,rmse_train,rmse_val,mae_train,mae_val
0,5,False,200,4,1.4653559448316502,1.9682006230639721,1.0944805439005156,1.4050311086213474
1,5,False,200,5,1.3540890444226839,1.9390334772557112,1.0070680683606352,1.397509526020721
2,5,False,200,6,1.2289669984117697,1.9259935712886846,0.9078513154829351,1.3906497102559414
3,5,False,200,7,1.0952391939803878,1.9206920083007044,0.8022022331188896,1.386882627456944
4,5,False,300,4,1.465701181726418,1.9684809525534188,1.0945581094057244,1.4063540053229988
5,5,False,300,5,1.354830832249424,1.9408348475312902,1.0080515306713518,1.3989759072313388
6,5,False,300,6,1.2294449722908034,1.9280823349474816,0.9081912995964855,1.3916710243735104
8,5,False,400,4,1.465662403114459,1.9673986554821485,1.0944337621878002,1.4060079942915884
7,5,False,300,7,1.0958877626275336,1.921402001955125,0.8028952520942795,1.3878386765742208
9,5,False,400,5,1.35493178792828,1.9382736696284337,1.0078110252211914,1.3981189726806982
12,5,False,500,4,1.4656545892674366,1.9709806265705232,1.094818117808882,1.4091113892740414
10,5,False,400,6,1.2293980279518837,1.927240139721021,0.907922749322607,1.3909333486532567
11,5,False,400,7,1.0960279678967197,1.9226007280863975,0.80275435274639,1.3875076767415602
13,5,False,500,5,1.3544098417342123,1.9420293293395765,1.0076456831605847,1.4002713171745589
16,5,False,600,4,1.4659834324358232,1.9723051539495913,1.0949461861470025,1.4099400490126084
14,5,False,500,6,1.2292057127240128,1.9273550422312333,0.9082707628873251,1.39061199617381
17,5,False,600,5,1.3549983886137926,1.9431924494706798,1.0079025186409925,1.4016135975086326
15,5,False,500,7,1.0957243099331155,1.9223247450566692,0.8028956870577713,1.387390925265543
18,5,False,600,6,1.2300050327391108,1.9292526669908543,0.9087568007002803,1.3927259502276412
19,5,False,600,7,1.0960532851539313,1.9242242604695114,0.802937317009729,1.3891979666799235
